FR0000120271;31/12/2010;39.65;;;
FR0000120271;03/01/2011;40.59;;;
FR0000120271;04/01/2011;41.13;;;
FR0000120271;05/01/2011;41.29;;;
FR0000120271;06/01/2011;41.55;;;
FR0000120271;07/01/2011;41.22;;;
FR0000120271;10/01/2011;40.69;;;
FR0000120271;11/01/2011;41.04;;;
FR0000120271;12/01/2011;41.74;;;
FR0000120271;13/01/2011;42;;;
FR0000120271;14/01/2011;42.4;;;
FR0000120271;17/01/2011;42.155;;;
FR0000120271;18/01/2011;42.5;;;
FR0000120271;19/01/2011;42.2;;;
FR0000120271;20/01/2011;41.945;;;
FR0000120271;21/01/2011;42.525;;;
FR0000120271;24/01/2011;42.905;;;
FR0000120271;25/01/2011;42.62;;;
FR0000120271;26/01/2011;43;;;
FR0000120271;27/01/2011;43.215;;;
FR0000120271;28/01/2011;42.325;;;
FR0000120271;31/01/2011;42.715;;;
FR0000120271;01/02/2011;44.08;;;
FR0000120271;02/02/2011;44;;;
FR0000120271;03/02/2011;43.55;;;
FR0000120271;04/02/2011;43.52;;;
FR0000120271;07/02/2011;43.585;;;
FR0000120271;08/02/2011;43.63;;;
FR0000120271;09/02/2011;43;;;
FR0000120271;10/02/2011;43.475;;;
FR0000120271;11/02/2011;43.445;;;
FR0000120271;14/02/2011;43.305;;;
FR0000120271;15/02/2011;43.465;;;
FR0000120271;16/02/2011;43.41;;;
FR0000120271;17/02/2011;43.5;;;
FR0000120271;18/02/2011;43.605;;;
FR0000120271;21/02/2011;43.05;;;
FR0000120271;22/02/2011;42.985;;;
FR0000120271;23/02/2011;43;;;
FR0000120271;24/02/2011;43.655;;;
FR0000120271;25/02/2011;43.78;;;
FR0000120271;28/02/2011;44.41;;;
FR0000120271;01/03/2011;43.465;;;
FR0000120271;02/03/2011;43.36;;;
FR0000120271;03/03/2011;43.84;;;
FR0000120271;04/03/2011;43.96;;;
FR0000120271;07/03/2011;43.7;;;
FR0000120271;08/03/2011;43.65;;;
FR0000120271;09/03/2011;43.1;;;
FR0000120271;10/03/2011;42.605;;;
FR0000120271;11/03/2011;42.255;;;
FR0000120271;14/03/2011;41.595;;;
FR0000120271;15/03/2011;40.62;;;
FR0000120271;16/03/2011;39.82;;;
FR0000120271;17/03/2011;40.79;;;
FR0000120271;18/03/2011;40.76;;;
FR0000120271;21/03/2011;41.515;;;
FR0000120271;22/03/2011;41.63;;;
FR0000120271;23/03/2011;42.085;;;
FR0000120271;24/03/2011;42.505;;;
FR0000120271;25/03/2011;42.575;;;
FR0000120271;28/03/2011;42.605;;;
FR0000120271;29/03/2011;42.755;;;
FR0000120271;30/03/2011;42.92;;;
FR0000120271;31/03/2011;42.955;;;
FR0000120271;01/04/2011;43.595;;;
FR0000120271;04/04/2011;43.375;;;
FR0000120271;05/04/2011;43.565;;;
FR0000120271;06/04/2011;43.065;;;
FR0000120271;07/04/2011;42.835;;;
FR0000120271;08/04/2011;43.15;;;
FR0000120271;11/04/2011;43.005;;;
FR0000120271;12/04/2011;41.94;;;
FR0000120271;13/04/2011;42.05;;;
FR0000120271;14/04/2011;41.64;;;
FR0000120271;15/04/2011;41.675;;;
FR0000120271;18/04/2011;40.66;;;
FR0000120271;19/04/2011;40.54;;;
FR0000120271;20/04/2011;41.875;;;
FR0000120271;21/04/2011;42.05;;;
FR0000120271;22/04/2011;42.05;;;
FR0000120271;25/04/2011;42.05;;;
FR0000120271;26/04/2011;42.03;;;
FR0000120271;27/04/2011;42.595;;;
FR0000120271;28/04/2011;43.005;;;
FR0000120271;29/04/2011;43.22;;;
FR0000120271;02/05/2011;43.045;;;
FR0000120271;03/05/2011;42.76;;;
FR0000120271;04/05/2011;41.765;;;
FR0000120271;05/05/2011;41.175;;;
FR0000120271;06/05/2011;41.61;;;
FR0000120271;09/05/2011;41.27;;;
FR0000120271;10/05/2011;41.81;;;
FR0000120271;11/05/2011;41.525;;;
FR0000120271;12/05/2011;40.945;;;
FR0000120271;13/05/2011;40.695;;;
FR0000120271;16/05/2011;40.555;;;
FR0000120271;17/05/2011;40.34;;;
FR0000120271;18/05/2011;40.765;;;
FR0000120271;19/05/2011;41.26;;;
FR0000120271;20/05/2011;41.07;;;
FR0000120271;23/05/2011;39.49;;;
FR0000120271;24/05/2011;39.445;;;
FR0000120271;25/05/2011;39.3;;;
FR0000120271;26/05/2011;39.195;;;
FR0000120271;27/05/2011;39.535;;;
FR0000120271;30/05/2011;39.445;;;
FR0000120271;31/05/2011;40.03;;;
FR0000120271;01/06/2011;39.58;;;
FR0000120271;02/06/2011;38.64;;;
FR0000120271;03/06/2011;38.36;;;
FR0000120271;06/06/2011;38.15;;;
FR0000120271;07/06/2011;38.285;;;
FR0000120271;08/06/2011;38.21;;;
